Name,ID,State,Network,County,Elevation_ft,Latitude,Longitude,HUC,WRIA Number,WRIA Acreage,WRIA Name
Ahtanum Ck at Union Gap,12502500,Washington,Streamflow,Yakima,940,46.53596,-120.4734,170300030105.00,37,1862427.128,Lower Yakima
American R nr Nile,"12488500	",Washington,Streamflow,Yakima,2700,46.97762,-121.1687,170300020107.00,38,707018.7313,Naches
Asotin Ck at Asotin,"13335050	",Washington,Streamflow,Asotin,760,46.34072,-117.05599,170601030209.00,35,1440035.873,Middle Snake
Baker R at Concrete,"12193500	",Washington,Streamflow,Skagit,190,48.54,-121.74194,171100051007.00,4,1567120.385,Upper Skagit
Bumping Lake Inflow,"12488000	",Washington,Streamflow,Yakima,3367,46.87261,-121.29259,170300020108.00,38,707018.7313,Naches
Cedar R at Cedar Falls,"12116500	",Washington,Streamflow,King,902,47.41705,-121.79205,171100120104.00,8,447085.7848,Cedar - Sammamish
Cedar R nr Cedar Falls,"12115000	",Washington,Streamflow,King,1560,47.37011,-121.6251,171100120103.00,8,447085.7848,Cedar - Sammamish
Chamokane Ck nr Long Lake,"12433200	",Washington,Streamflow,Stevens,1420,47.86322,-117.85829,170103070204.00,54,566233.2591,Lower Spokane
Chelan R at Chelan,"12452500	",Washington,Streamflow,Chelan,1090,47.83458,-120.01313,170200090305.00,47,668135.928,Chelan
Cle Elum Lake Inflow,"12479000	",Washington,Streamflow,Kittitas,2102,47.24456,-121.06786,170300010106.00,39,1368957.861,Upper Yakima
Columbia R at Grand Coulee-NWS,"12436500	",Washington,Streamflow,Douglas,900,47.96543,-118.9828,170200050203.00,42,484483.0325,Grand Coulee
Columbia R bl Rock Island Dam-NWS,"12462600	",Washington,Streamflow,Douglas,500,47.33235,-120.08117,170200100401.00,44,730126.8099,Moses Coulee
Colville R at Kettle Falls,"12409000	",Washington,Streamflow,Stevens,1400,48.59435,-118.06249,170200030406.00,59,652150.5734,Colville
Cowlitz R at Castle Rock,"14243000	",Washington,Streamflow,Cowlitz,25,46.27483,-122.91456,170800050904.00,26,1594947.985,Cowlitz
Cowlitz R bl Mayfield,"14238000	",Washington,Streamflow,Lewis,227,46.51039,-122.61622,170800050301.00,26,1594947.985,Cowlitz
Dungeness R nr Sequim,"12048000	",Washington,Streamflow,Clallam,569,48.01426,-123.13268,171100200306.00,18,651075.4204,Elwha - Dungeness
Elwha at Mcdonald Bridge,"12045500	",Washington,Streamflow,Clallam,200,48.05,-123.56667,171100200512.00,18,651075.4204,Elwha - Dungeness
Entiat R nr Ardenvoir,"12452800	",Washington,Streamflow,Chelan,1561,47.81846,-120.42314,170200100207.00,46,305757.467,Entiat
Green R bl Howard A Hanson Dam,"12105900	",Washington,Streamflow,King,990,47.28371,-121.79789,171100130204.00,9,364530.8091,Duwamish - Green
Icicle Ck nr Leavenworth,"12458000	",Washington,Streamflow,Chelan,1450,47.54095,-120.72009,170200110406.00,45,878423.402,Wenatchee
Kachess Reservoir Inflow,"12476000	",Washington,Streamflow,Kittitas,2188,47.26123,-121.20342,170300010306.00,39,1368957.861,Upper Yakima
Keechelus Reservoir Inflow,"12474500	",Washington,Streamflow,Kittitas,2422,47.32122,-121.3362,170300010304.00,39,1368957.861,Upper Yakima
Kettle R nr Laurier,"12404500	",Washington,Streamflow,Ferry,1426,48.98435,-118.2164,170200021904.00,60,656426.126,Kettle
Klickitat R nr Glenwood,"14107000	",Washington,Streamflow,Yakima,2720,46.26484,-121.24508,170701060104.00,30,922913.6162,Klickitat
Klickitat R nr Pitt,"14113000	",Washington,Streamflow,Klickitat,289,45.75651,-121.21007,170701060409.00,30,922913.6162,Klickitat
Lewis R at Ariel,"14220500	",Washington,Streamflow,Cowlitz,44,45.95178,-122.56399,170800020606.00,27,837423.2507,Lewis
Methow R nr Pateros,"12449950	",Washington,Streamflow,Okanogan,900,48.07736,-119.98507,170200080709.00,48,1359169.775,Methow
Mill Ck at Walla Walla,"14015000	",Washington,Streamflow,Walla Walla,1120,46.06667,-118.26667,170701020701.00,32,907780.6075,Walla Walla
Mill Ck nr Walla Walla,"14013000	",Washington,Streamflow,Walla Walla,2000,46.00792,-118.11856,170701020202.00,32,907780.6075,Walla Walla
Naches R nr Naches,"12494000	",Washington,Streamflow,Yakima,1550,46.7454,-120.76924,170300020312.00,38,707018.7313,Naches
Nisqually R at Legrande,"12086500	",Washington,Streamflow,Pierce,490,46.83333,-122.31667,171100150205.00,11,491308.1947,Nisqually
Okanogan R at Malott,"12447200	",Washington,Streamflow,Okanogan,784,48.28126,-119.7045,170200062205.00,49,1342476.882,Okanogan
