WY,Dec,Jan,Feb,Mar,Apr
1990,59,34,96,120,115
1991,104,115,97,85,98
1992,106,90,87,81,61
1993,105,120,100,83,78
1994,57,75,63,87,84
1995,244,164,129,110,107
1996,53,74,83,85,78
1997,178,223,162,155,168
1998,77,75,104,110,105
1999,148,150,145,180,182
2000,67,101,117,117,123
2001,73,69,57,60,62
2002,124,138,131,126,142
2003,15,73,63,65,80
2004,143,119,104,101,96
2005,40,45,27,27,33
2006,134,88,129,127,130
2007,207,154,125,125,106
2008,61,128,155,147,155
2009,13,95,85,80,107
2010,165,94,78,74,82
2011,118,113,83,96,123
2012,169,97,105,116,148
2013,93,148,119,119,113
2014,58,45,55,90,100
2015,52,52,38,30,22
2016,54,128,107,101,110
2017,96,118,92,92,121
2018,119,95,103,108,111
2019,43,89,74,89,79

