ID,HSA,State,Latitude,Longitude,Elevation
ABOM8,MSO,MT,46.87722,113.93139,3198
AGNO3,MFR,OR,42.58056,124.05833,113
AGSO3,MFR,OR,42.52083,124.04306,200
ALBO3,PQR,OR,44.63889,123.10556,167
ALFW1,OTX,WA,48.17889,116.99972,2050
ALFW1N,Unk,WA,48.18333,117.03333,2050
ALPW4,RIW,WY,43.19611,110.88944,5684
ALRW1,SEW,WA,46.8025,122.31028,1210
AMFI1,PIH,ID,42.76833,112.87833,4212
ANAW1,PDT,WA,46.09722,116.97667,807
ANTI1,PIH,ID,43.96694,111.6725,4951
APLO3,MFR,OR,42.057,123.108,1990
APRO3,MFR,OR,42.25,123.13333,1285
ARAI1,BOI,ID,43.35861,115.44583,3880
ARDQ2,OTX,BC,49.33333,117.76667,1420
ARDQ2N,Unk,BC,49.33333,117.76667,1562
ARDW1,OTX,WA,47.81861,120.42194,1561
ARGW1,SEW,WA,48.26167,122.04639,89
ARKI1,BOI,ID,43.61111,115.92194,3275
ARLW1,SEW,WA,48.20361,122.12806,65
ARWO3,MFR,OR,42.35,123.4,950
ASCW1,OTX,WA,46.27361,117.29139,1810
AUBW1,SEW,WA,47.3125,122.20278,70
AURO3,PQR,OR,45.23361,122.75028,72
AZAO3,MFR,OR,42.825,123.17778,1694
BCDW1,SEW,WA,46.77222,122.92306,195
BDDI1,BOI,ID,43.53333,116.08333,2800
BEAO3,PQR,OR,45.26667,123.84583,43
BELM8,MSO,MT,46.86917,114.12583,3084
BEUO3,BOI,OR,43.90778,118.15222,3270
BFKW4,RIW,WY,43.83806,110.44083,6773
BFTI1,PIH,ID,43.14194,112.51833,4400
BIGI1,BOI,ID,43.66056,116.27917,2600
BIRQ2,CAN,BC,49.17778,117.71639,1329
BITM8,MSO,MT,46.83194,114.05306,3110
BLUO3,PQR,OR,44.1625,122.32917,1357
BONM8,MSO,MT,46.89972,113.75556,3345
BONO3,PQR,OR,45.63333,121.95917,62
BRDQ2,Unk,BC,49.33333,117.61667,1400
BRFI1,BOI,ID,43.49444,115.30556,4220
BRNI1,BOI,ID,44.83333,116.86667,1844
BTSI1,BOI,ID,43.65917,115.72611,3256
BULO3,BOI,OR,44.03056,117.4125,2500
BUMW1,PDT,WA,46.88333,121.28333,3441
BUSO3,BOI,OR,43.71528,119.17639,4195
CABI1,OTX,ID,48.08333,116.06667,2260
CALW1,SEW,WA,47.96028,124.39167,210
CAMI1,BOI,ID,44.57972,116.63889,2660
CANO3,PQR,OR,45.24444,122.68611,94
CASW1,PQR,WA,46.275,122.91333,20
CENW1,SEW,WA,46.7125,122.9775,185
CFMM8,MSO,MT,48.36194,114.18389,2978
CGMW1,SEW,WA,46.77611,123.03444,124
CGRO3,PQR,OR,44.13611,122.24722,1262
CHDW1,OTX,WA,47.83639,120.06028,995
CHEI1,PIH,ID,44.01667,111.56667,5052
CHJW1,OTX,WA,47.99278,119.65333,820
CHTO3,MFR,OR,42.12361,124.18611,50
CIYW1,SEW,WA,46.44389,121.84111,1260
CLDI1,OTX,ID,47.27472,116.18806,2096
CLEW1,PDT,WA,47.25,121.06667,2240
CLFW1,PDT,WA,46.90056,121.01806,2280
COCO3,PQR,OR,45.37944,122.57611,15
COEI1,OTX,ID,47.66611,116.77056,2160
COKW1,SEW,WA,46.46611,122.11806,780
CONW1,SEW,WA,48.52444,121.76972,130
CORO3,PQR,OR,44.56639,123.25681,192
COTO3,PQR,OR,43.72,123.05,800
CRNW1,SEW,WA,47.66611,121.92417,60
CRPW1,SEW,WA,46.93944,123.31306,24
CSCI1,BOI,ID,44.51667,116.05,4828
CSHW1,SEW,WA,47.42389,123.21972,760
CTAW1,SEW,WA,46.73111,122.95278,100
CTLI1,OTX,ID,47.555,116.32444,2100
CWMO3,MFR,OR,42.73,123.45,1010
DARM8,MSO,MT,45.97222,114.14056,3942
DCDQ2,CAN,BC,50.25,116.97,1801
DEEO3,MFR,OR,43.22,123.27,690
DETO3,PQR,OR,44.72222,122.24861,1570
DGGI1,PIH,ID,43.78167,111.20833,5953
DLGM8,MSO,MT,46.39778,112.74194,4500
DLLO3,PQR,OR,45.475,123.12306,147
DONO3,BOI,OR,42.78333,118.86667,4260
DORO3,PQR,OR,43.79306,122.99028,820
DOTW1,SEW,WA,46.6175,123.27639,302
DRBI1,BOI,ID,44.29167,115.6425,5192
DRMM8,MSO,MT,46.71222,113.33,3379
DRSW1,SEW,WA,48.01444,123.13139,569
DSRW1,SEW,WA,46.85222,122.6675,349
DWRI1,MSO,ID,46.5149,116.29681,995
EASI1,OTX,ID,48.99917,116.17972,2620
EASW1,PDT,WA,47.23889,121.17778,2135
ECDO3,MFR,OR,43.63,123.28,689
EGCO3,PDT,OR,44.88056,117.25278,2800
EGLO3,MFR,OR,42.52583,122.86056,1270
EKTO3,MFR,OR,43.58611,123.55417,90
ELKO3,MFR,OR,42.675,122.74389,1455
