NatFlowStationID,AVG30YR,PCT75NORMAL,basinStation
RODW1,1523.09,1142.3175,SKAGIT+ROSS+RESERVOIR+  
TNAW1,133.42,100.065,TEANAWAY+BELOW+FORKS+  
TLRW1,46.25,34.6875,SF+TOLT+TOLT+RESERVOIR+  
MORW1,151.86,113.895,CEDAR+CHESTER+MORSE+LAKE+  
LGSW1,24511.85,18383.8875,SNAKE+LITTLE+GOOSE+DAM+  
PRWW1,66053.59,49540.1925,COLUMBIA+PRIEST+RAPIDS+DAM+  
ALRW1,378.14,283.605,NISQUALLY+ALDER+RESERVOIR+  
WANW1,66052.06,49539.045,COLUMBIA+WANAPUM+DAM+  
WELW1,63220.12,47415.09,COLUMBIA+WELLS+DAM+  
MSRW1,1774.06,1330.545,COWLITZ+MOSSYROCK+RESERVOIR+  
LMNW1,24643.1,18482.325,SNAKE+LOWER+MONUMENTAL+DAM+  
UBDW1,806.1,604.575,BAKER+UPPER+BAKER+LAKE+  
CHJW1,60658.76,45494.07,COLUMBIA+CHIEF+JOSEPH+DAM+  
IHDW1,24643.1,18482.325,SNAKE+ICE+HARBOR+DAM+  
HHDW1,260,195,GREEN+HOWARD+HANSON+DAM+  
SHDW1,1016.13,762.0975,BAKER+LAKE+SHANNON+  
SLKW1,188.7,141.525,SULTAN+SPADA+LAKE+  
MMRW1,527.94,395.955,WHITE+AT+MUD+MOUNTAIN+DAM+  
NASW1,57.33,42.9975,NASELLE+NEAR+NASELLE+  
WILW1,80.94,60.705,WILLAPA+NEAR+WILLAPA+  
DOTW1,72.46,54.345,CHEHALIS+NEAR+DOTY+  
NEWW1,79.6,59.7,NEWAUKUM+NEAR+CHEHALIS+  
CENW1,283.76,212.82,CHEHALIS+NEAR+CENTRALIA+  
BCDW1,62.67,47.0025,SKOOKUMCHUCK+NEAR+BUCODA+  
CTAW1,81.32,60.99,SKOOKUMCHUCK+AT+CENTRALIA+  
CGMW1,390.48,292.86,CHEHALIS+NEAR+GRAND+MOUND+  
CRPW1,575.33,431.4975,CHEHALIS+AT+PORTER+  
SATW1,312.56,234.42,SATSOP+NEAR+SATSOP+  
WYDW1,98.34,73.755,WYNOOCHEE+WYNOOCHEE+DAM+  
MNSW1,216.72,162.54,WYNOOCHEE+NEAR+MONTESANO+  
CALW1,159.38,119.535,CALAWAH+NEAR+FORKS+  
ELWW1,471.53,353.6475,ELWHA+AT+MCDONALD+BRIDGE+NEAR+PORT+ANGELES+  
DRSW1,144.8,108.6,DUNGENESS+NEAR+SEQUIM+  
SKOW1,134.81,101.1075,NF+SKOKOMISH+BELOW+STAIRCASE+RAPIDS+NEAR+HOODSPORT+  
SSUW1,124.58,93.435,SF+SKOKOMISH+NEAR+UNION+  
DSRW1,40.82,30.615,DESCHUTES+NEAR+RAINIER+  
NISW1,267.17,200.3775,NISQUALLY+NEAR+NATIONAL+  
MCMW1,66.38,49.785,MINERAL+CREEK+NEAR+MINERAL+  
