NWS_ID,USGS_ID,GOES_ID,HSA,Latitude_dd,Longitude_dd,LOCATION,WAC,WRIA_NR,WRIA_NM,mm_dd,stream_name,rule,value,station_type,station_substitution
ARDW1,12452800,DD09A114,OTX,47.818611,-120.421944,ENTIAT RIVER NEAR ARDENVOIR WA,WAC173546,46,ENTIAT,1-Jan,Upper Entiat RM_18,NA,175,USGS,NA
ARDW1,12452800,DD09A114,OTX,47.818611,-120.421944,ENTIAT RIVER NEAR ARDENVOIR WA,WAC173546,46,ENTIAT,2-Jan,Upper Entiat RM_18,NA,175,USGS,NA
ARDW1,12452800,DD09A114,OTX,47.818611,-120.421944,ENTIAT RIVER NEAR ARDENVOIR WA,WAC173546,46,ENTIAT,3-Jan,Upper Entiat RM_18,NA,175,USGS,NA
ARDW1,12452800,DD09A114,OTX,47.818611,-120.421944,ENTIAT RIVER NEAR ARDENVOIR WA,WAC173546,46,ENTIAT,4-Jan,Upper Entiat RM_18,NA,175,USGS,NA
ARDW1,12452800,DD09A114,OTX,47.818611,-120.421944,ENTIAT RIVER NEAR ARDENVOIR WA,WAC173546,46,ENTIAT,5-Jan,Upper Entiat RM_18,NA,175,USGS,NA
ARDW1,12452800,DD09A114,OTX,47.818611,-120.421944,ENTIAT RIVER NEAR ARDENVOIR WA,WAC173546,46,ENTIAT,6-Jan,Upper Entiat RM_18,NA,175,USGS,NA
ARDW1,12452800,DD09A114,OTX,47.818611,-120.421944,ENTIAT RIVER NEAR ARDENVOIR WA,WAC173546,46,ENTIAT,7-Jan,Upper Entiat RM_18,NA,175,USGS,NA
ARDW1,12452800,DD09A114,OTX,47.818611,-120.421944,ENTIAT RIVER NEAR ARDENVOIR WA,WAC173546,46,ENTIAT,8-Jan,Upper Entiat RM_18,NA,175,USGS,NA
ARDW1,12452800,DD09A114,OTX,47.818611,-120.421944,ENTIAT RIVER NEAR ARDENVOIR WA,WAC173546,46,ENTIAT,9-Jan,Upper Entiat RM_18,NA,175,USGS,NA
ARDW1,12452800,DD09A114,OTX,47.818611,-120.421944,ENTIAT RIVER NEAR ARDENVOIR WA,WAC173546,46,ENTIAT,10-Jan,Upper Entiat RM_18,NA,175,USGS,NA
ARDW1,12452800,DD09A114,OTX,47.818611,-120.421944,ENTIAT RIVER NEAR ARDENVOIR WA,WAC173546,46,ENTIAT,11-Jan,Upper Entiat RM_18,NA,175,USGS,NA
ARDW1,12452800,DD09A114,OTX,47.818611,-120.421944,ENTIAT RIVER NEAR ARDENVOIR WA,WAC173546,46,ENTIAT,12-Jan,Upper Entiat RM_18,NA,175,USGS,NA
ARDW1,12452800,DD09A114,OTX,47.818611,-120.421944,ENTIAT RIVER NEAR ARDENVOIR WA,WAC173546,46,ENTIAT,13-Jan,Upper Entiat RM_18,NA,175,USGS,NA
ARDW1,12452800,DD09A114,OTX,47.818611,-120.421944,ENTIAT RIVER NEAR ARDENVOIR WA,WAC173546,46,ENTIAT,14-Jan,Upper Entiat RM_18,NA,175,USGS,NA
