ID,Servicing,FcstPeriod,StationName,newNormal,new75PctNormal
ABOM8,MSO,APR-SEP,CLARK FORK - ABOVE MISSOULA,1662,1246.5
AGNO3,MFR,APR-SEP,ROGUE - NEAR AGNES,1345,1008.75
ALBO3,PQR,APR-SEP,WILLAMETTE - AT ALBANY,3280,2460
ALFW1,OTX,APR-SEP,PEND OREILLE - ALBENI FALLS DAM,14135,10601.25
ALPW4,RIW,APR-SEP,SNAKE - NEAR ALPINE,2527,1895.25
ALRW1,SEW,APR-SEP,NISQUALLY - ALDER RESERVOIR,391,293.25
AMFI1,PIH,APR-SEP,SNAKE - AT AMERICAN FALLS DAM,6233,4674.75
ANAW1,PDT,APR-SEP,SNAKE - NEAR ANATONE,16459,12344.25
ANTI1,PIH,APR-SEP,HENRYS FORK - AT ST. ANTHONY,1471,1103.25
APLO3,MFR,APR-SEP,APPLEGATE - APPLEGATE RESERVOIR,117,87.75
APRO3,MFR,APR-SEP,APPLEGATE - NEAR APPLEGATE,147,110.25
ARAI1,BOI,APR-SEP,SF BOISE - ANDERSON RANCH DAM,484,363
ARDQ2,OTX,APR-SEP,COLUMBIA - ARROW LAKES (HUGH KEENLEYSIDE DAM),23845,17883.75
ARDW1,OTX,APR-SEP,ENTIAT - NEAR ARDENVOIR,224,168
ARGW1,SEW,APR-SEP,NF STILLAGUAMISH - NEAR ARLINGTON,428,321
ARKI1,BOI,APR-SEP,BOISE - ARROWROCK DAM,1191,893.25
ARLW1,SEW,APR-SEP,STILLAGUAMISH - NEAR ARLINGTON,895,671.25
ARWO3,MFR,APR-SEP,APPLEGATE - NEAR WILDERVILLE,184,138
AUBW1,SEW,APR-SEP,GREEN - NEAR AUBURN,344,258
AURO3,PQR,APR-SEP,PUDDING - AT AURORA,187,140.25
AZAO3,MFR,APR-SEP,COW CREEK - NEAR AZALEA,16.38,12.285
BCDW1,SEW,APR-SEP,SKOOKUMCHUCK - NEAR BUCODA,64.6,48.45
