"","network","state","site_name","description","start","end","latitude","longitude","elev","county","site_id"
"1","SNTL","AK","frostbite bottom ","Fishhook Creek-Little Susitna River (190205051202)",2019-02-01,2019-12-10,61.75,-149.27,823,"Unknown",641
"2","SNTL","AK","mcgrath ","Town of McGrath-Kuskokwim River (190304050502)",2019-08-01,2019-12-10,62.95,-155.61,104,"Yukon-koyukuk",785
"3","SNTL","UT","parleys upper ","Parleys Creek (160202040302)",2019-08-01,2019-12-10,40.7,-111.61,2546,"Salt Lake",856
"4","SNTL","AK","galena ak ","Louden Slough-Yukon River (190902051104)",2018-08-01,2019-12-10,64.7,-156.71,125,"Yukon-koyukuk",429
"5","SNTL","MT","jl meadow ","Dad Creek-Medicine Lodge Creek (100200011202)",2017-10-01,2019-12-10,44.78,-113.12,2682,"Beaverhead",1287
"6","SNTL","NV","oneil creek ","Pole Creek (170402130106)",2018-06-01,2019-12-10,41.86,-115.08,1987,"Elko",1272
"7","SNTL","AK","flower mountain ","Porcupine Creek (190103031206)",2017-08-01,2019-12-10,59.4,-136.28,765,"Haines",1285
"8","SNTL","CA","fredonyer peak ","Lower Dry Lake-Frontal Eagle Lake (180800030304)",2016-10-01,2019-12-10,40.69,-120.61,2197,"Lassen",1277
"9","SNTL","UT","bobs hollow ","North Fork Chalk Creek (160300051401)",2016-10-01,2019-12-10,38.95,-112.15,2840,"Millard",1278
"10","SNTL","UT","santaquin meadows ","Summit Creek (160202010301)",2016-10-01,2019-12-10,39.92,-111.72,2388,"Utah",1280
"11","SNTL","AK","heen latinee ","Davies Creek (190103010401)",2015-10-01,2019-12-10,58.7,-134.86,629,"Juneau",1270
"12","SNTL","AK","jack wade jct ","Kal Creek (190705022204)",2015-10-01,2019-12-10,64.15,-141.33,1093,"Southeast Fairbanks",1275
"13","SNTL","CO","elkhead divide ","Headwaters Elkhead Creek (140500010601)",2016-09-01,2019-12-10,40.8,-107.1,2676,"Routt",1252
"14","SNTL","NM","garita peak ","Headwaters San Antonio Creek (130202020201)",2016-09-01,2019-12-10,36.01,-106.55,3097,"Rio Arriba",1173
"15","SNTL","UT","mt pennell ","State Creek (140700010502)",2015-10-01,2019-12-10,37.98,-110.79,2807,"Garfield",1269
"16","SNTL","AK","lower kachemak creek ","Bradley Lake (190203011101)",2015-06-01,2019-12-10,59.74,-150.69,584,"Kenai Peninsula",1265
"17","SNTL","AZ","hawley lake ","Trout Creek (150601020106)",2015-09-01,2019-12-10,33.97,-109.77,2530,"Apache",1271
"18","SNTL","NV","fry canyon ","Headwaters North Fork Humboldt River (160401020101)",2014-10-01,2019-12-10,41.57,-115.94,2072,"Elko",1262
"19","SNTL","UT","lonesome beaver ","Headwaters North Wash (140700010301)",2014-10-01,2019-12-10,38.07,-110.77,2868,"Garfield",1261
"20","SNTL","UT","panguitch lake rs ","Ipson Creek (160300010402)",2014-10-01,2019-12-10,37.7,-112.65,2545,"Garfield",1148
"21","SNTL","WA","pinto rock ","Iron Creek (170800040405)",2014-10-01,2019-12-10,46.32,-121.94,1353,"Skamania",1263
"22","SNTL","WA","skate creek ","Silver Creek (170800040505)",2014-10-01,2019-12-10,46.64,-121.83,1149,"Lewis",1257
"23","SNTL","AK","alexander lake ","Headwaters Alexander Creek (190205051106)",2014-08-01,2019-12-10,61.75,-150.89,49,"Matanuska-susitna",1267
"24","SNTL","AK","fielding lake ","Fielding Lake (190803040302)",2014-08-01,2019-12-10,63.2,-145.63,914,"Valdez-cordova",1268
"25","SNTL","AK","telaquana lake ","Upper Telaquana River (190304052303)",2014-07-01,2019-12-10,60.98,-153.92,389,"Bethel",1266
"26","SNTL","CA","state line ","Weed Valley-North Fork Willow Creek (180102040201)",2014-06-01,2019-12-10,41.99,-120.72,1731,"Modoc",1258
