"site_no","station_nm","state_cd","state_geo","dec_lat_va","dec_long_va","count_nu"
9379200,"CHINLE CREEK NEAR MEXICAN WATER, AZ","AZ","AZ",36.94388757,-109.7106866,22415
9380000,"COLORADO RIVER AT LEES FERRY, AZ","AZ","AZ",36.86433333,-111.5878722,38123
9382000,"PARIA RIVER AT LEES FERRY, AZ","AZ","AZ",36.87221098,-111.5946286,37393
9383000,"COLORADO RIVER AT COMPACT POINT NR LEES FERRY, AZ","AZ","AZ",36.8513765,-111.6065497,12050
9383400,"LITTLE COLORADO RIVER AT GREER, AZ","AZ","AZ",34.01588889,-109.4570833,14566
9384000,"LITTLE COLORADO R ABV LYMAN LAKE NR ST. JOHNS, AZ","AZ","AZ",34.31502222,-109.3623306,31366
9385000,"LYMAN CANAL BLW. LYMAN RES. NR. ST. JOHNS, ARIZ.",NA,"AZ",34.36809558,-109.3825956,11590
9385500,"LCR BEL LYMAN RES NR ST JOHNS ARIZ",NA,"AZ",34.36809558,-109.3828734,14672
9386030,"LITTLE COLORADO RVR ABV ZION RES. NR ST. JOHNS, AZ","AZ","AZ",34.58331944,-109.4066917,18399
9386500,"LITTLE COLORADO R AB ZUNI R NR HUNT, AZ.","AZ","AZ",34.64170039,-109.6770533,11901
9388000,"LITTLE COLORADO RIVER NR HUNT, AZ","AZ","AZ",34.64725615,-109.7034425,13525
9390500,"SHOW LOW CREEK NEAR LAKESIDE, AZ","AZ","AZ",34.17948755,-109.9878858,26588
9392000,"SHOW LOW CR BL JAQUES DAM, NR SHOW LOW, AZ","AZ","AZ",34.19643165,-110.0042754,18262
9394500,"LITTLE COLORADO RIVER AT WOODRUFF, AZ","AZ","AZ",34.7825,-110.0439583,35900
9397000,"LITTLE COLORADO RIVER AT HOLBROOK, AZ","AZ","AZ",34.8978039,-110.1631768,16037
9397500,"CHEVELON FORK BELOW WILDCAT CANYON, NR WINSLOW, AZ","AZ","AZ",34.6364196,-110.7142957,19648
9398000,"CHEVELON CREEK NEAR WINSLOW, AZ","AZ","AZ",34.92438889,-110.5289306,19294
9398500,"CLEAR CREEK BELOW WILLOW CREEK, N WINSLOW, AZ.","AZ","AZ",34.66752554,-111.0076349,16267
9399000,"CLEAR CREEK NEAR WINSLOW, AZ","AZ","AZ",34.96946689,-110.6451326,19695
9401000,"LITTLE COLO. RIVER AT GRAND FALLS, ARIZ.",NA,"AZ",35.4333386,-111.200701,13750
9401260,"MOENKOPI WASH AT MOENKOPI, AZ","AZ","AZ",36.10499334,-111.2018069,18124
9402000,"LITTLE COLORADO RIVER NEAR CAMERON, AZ","AZ","AZ",35.9263819,-111.5673682,28749
9402500,"COLORADO RIVER NEAR GRAND CANYON, AZ","AZ","AZ",36.10137176,-112.0862795,37028
9403000,"BRIGHT ANGEL CREEK NEAR GRAND CANYON, ARIZ.",NA,"AZ",36.09972222,-112.0938889,19515
9404200,"COLORADO RVR ABV DIAMOND CREEK NR PEACH SPRINGS AZ","AZ","AZ",35.7735994,-113.363544,13400
9404208,"DIAMOND CREEK NEAR PEACH SPRINGS, AZ","AZ","AZ",35.76498839,-113.3682663,11967
9404343,"TRUXTON WASH NEAR VALENTINE, AZ","AZ","AZ",35.38416188,-113.6577185,11446
9415000,"VIRGIN RV AT LITTLEFIELD, AZ","AZ","AZ",36.8916437,-113.9244098,35199
9423650,"TOPOCK MARSH OUTLET NEAR TOPOCK, AZ","AZ","AZ",34.7375068,-114.4902393,16983
9424447,"BURRO CREEK AT OLD US 93 BRIDGE, NEAR BAGDAD, AZ","AZ","AZ",34.5346222,-113.4540583,12441
9424450,"BIG SANDY RIVER NEAR WIKIEUP, AZ","AZ","AZ",34.4625286,-113.6243843,21873
9424900,"SANTA MARIA RIVER NEAR BAGDAD, AZ","AZ","AZ",34.3058675,-113.3471532,20749
9426000,"BILL WILLIAMS RIVER BELOW ALAMO DAM, AZ","AZ","AZ",34.2310833,-113.6099306,31488
9426620,"BILL WILLIAMS RIVER NEAR PARKER, AZ","AZ","AZ",34.2612361,-114.0289806,13651
9426650,"CENTRAL ARIZONA PROJECT CANAL AT HAVASU PUMPING PL","PL","AZ",34.28890386,-114.1110573,15098
9428500,"CRIR MAIN CANAL NEAR PARKER, AZ","AZ","AZ",34.16779378,-114.2766175,26071
9428505,"GARDNER LATERAL SPILL NEAR PARKER, AZ","AZ","AZ",34.02779463,-114.433566,21840
9428508,"UPPER MAIN DRAIN NEAR POSTON, AZ","AZ","AZ",34.0233504,-114.4124542,13134
9428510,"POSTON WASTEWAY NEAR POSTON, AZ","AZ","AZ",33.99845278,-114.4563389,19130
9429030,"PALO VERDE DRAIN NEAR PARKER, AZ","AZ","AZ",33.75696536,-114.4974554,16939
9429060,"CRIR LOWER MAIN DRAIN NEAR PARKER, AZ","AZ","AZ",33.761132,-114.4855107,16192
9429300,"COLORADO RIVER BELOW CIBOLA VALLEY, AZ.","AZ","AZ",33.22114635,-114.672457,11871
9442000,"GILA RIVER NEAR CLIFTON, AZ","AZ","AZ",32.96527778,-109.3086111,35474
9444200,"BLUE RIVER NEAR CLIFTON, AZ.","AZ","AZ",33.29089456,-109.1961832,14574
9444500,"SAN FRANCISCO RIVER AT CLIFTON, AZ","AZ","AZ",33.05604444,-109.2990167,37535
9445000,"Willow Creek Div from Black River, nr Morenci, AZ","AZ","AZ",33.41283295,-109.719531,20982
9447000,"EAGLE CREEK ABOVE PUMPING PLANT, NEAR MORENCI, AZ.","AZ","AZ",33.06615,-109.444975,29905
9447800,"BONITA CREEK NEAR MORENCI, AZ.","AZ","AZ",32.9556458,-109.5312047,16269
9448500,"GILA RIVER AT HEAD OF SAFFORD VALLEY, NR SOLOMON,",NA,"AZ",32.8827222,-109.4796056,37886
9457000,"SAN SIMON RIVER NEAR SOLOMON, ARIZ.",NA,"AZ",32.8017604,-109.639262,19269
